car,automobile:0.7734600350957327
journey,voyage:0.7760451139829022
boy,lad:0.7817592239496829
coast,shore:0.9533892247584665
magician,wizard:0.5418654958770681
midday,noon:0.22308309239522137
furnace,stove:0.6781198458116764
food,fruit:0.8971625250088774
bird,crane:0.9426269652448048
tool,implement:0.42184450534012147
brother,monk:0.9375889409025823
crane,implement:0.31668400957482373
lad,brother:0.8801156834410734
journey,car:0.8751490220608963
monk,oracle:0.8884799029548515
food,rooster:0.6011190069083345
coast,hill:0.9375270585105827
forest,graveyard:0.7222726733817899
monk,slave:0.9185239590916011
coast,forest:0.9020055252198916
lad,wizard:0.8714958832379482
chord,smile:-0.19837253785973807
glass,magician:0.48145554647712546
noon,string:0.8942658844007132
rooster,voyage:0.64632776700316
Correlation:0.030781071920628972
